제목,가수,장르,가사
도깨비불 (Illusion),aespa,댄스,"You’re so yummy yummy yummy
In my tummy tummy tummy

Look at you 빨라지는 걸음걸이
Look at me 호기심을 자극하지
Look at them 알아챌 수 없는 거리
Baby don’t panic 한밤의 Party

차올라 달이 딱 좋은 Timing
이건 비밀이야 쉿 우리만의
한밤의 Party 널 끌어당김
어쩌니 내게 뺏겨버린 환심

몽롱한 기분이 좋은 Tonight
색다른 세계로 이끄는 Light

Follow me, Come and get illusion
한입에 삼켜 널 Delicious
아찔한 미끼로 Hook up
관심을 먹고 Growing up
Follow me, Come and get illusion
몸집을 불려가 Delicious
점점 더 커지는 Fire
관심을 먹고 Growing up

(Will o' the wisp)
겁내지 말고 이리 온
(Will o' the wisp)
겁내지 말고 이리 온

Easy peasy 너도 알다시피
When you dizzy 내겐 그저 Dish
도깨비불 너를 놀려 Boo
예상 못 한 순간 등장하지 불쑥

첨 보는 Style 멋모를 Timing
너의 약점에다 Hit! It’s so funny
한밤의 Party 널 끌어당김
알아도 막을 수 없는 반칙

낯선 이 기분이 묘한 Tonight
감춰둔 본능을 이끄는 Light

Follow me, Come and get illusion
한입에 삼켜 널 Delicious
아찔한 미끼로 Hook up
관심을 먹고 Growing up
Follow me, Come and get illusion
몸집을 불려가 Delicious
점점 더 커지는 Fire
관심을 먹고 Growing up
(Will o' the wisp)
겁내지 말고 이리 온
(Will o' the wisp)
겁내지 말고 이리 온

Yummy yummy yummy
In your tummy tummy tummy
놀란 너의 Face 나를 저격하는 Taste
멀리멀리 달아나도 소용없어 이미
Come get illusion
So fool

Follow me, Come and get illusion
유일한 목격자 You’re the one
방심한 틈을 타 Swallow
환상을 먹고 Growing up
Follow me, Come and get illusion
순진한 먹잇감 Delicious
단번에 노리는 Hunter
네 맘을 뺏어 Growing up

(Will o' the wisp)
겁내지 말고 이리 온
(Will o' the wisp)
겁내지 말고 이리 온"
Love story,볼빨간사춘기,"인디음악, 포크/블루스","Thought that I was princess
날 좋아하던 그때
수줍게 꽃을 건네던 너에게
웃으며 손을 내밀었지
시간 지나 my birthday
우린 몰래 run away
온통 둘뿐인 밤거릴 걷다가
너와 눈이 마주친 그날
Oh babe 너의 눈동자에 cheers
달빛에 비춰진 우리의 흩어진 잔상
너의 이야기에 취해
밤하늘의 별이 쏟아질 것만 같은 기분
Oh god please this is not a dream
Thought that it was romance
날 바래다준 그때
수줍게 인사를 건네던 너에게
살며시 입을 맞추었지
시간 지나 go on trip
한 손엔 진한 커피
우리가 새긴 별자릴 찾다가
너와 눈이 마주친 그날
Oh babe 너의 눈동자에 cheers
달빛에 비춰진 우리의 흩어진 잔상
너의 이야기에 취해
밤하늘의 별이 쏟아질 것만 같은 기분
Oh oh oh 꿈인가 봐
그래 니가 내 옆에 있는 꿈
Oh oh no
아니잖아 이건 yeah
I got you boy
Oh babe 너의 눈동자에 cheers
붉게 물들어진 우리의 오래된 잔상
너의 이야기에 취해
온 세상의 별이 쏟아질 것만 같은 기분
Oh god please this is not a dream"
FOREVER 1,소녀시대 (GIRLS' GENERATION),댄스,"FOREVER 1
It’s love It’s love
We’re not stopping

네가 머문 이 세상이 더
아름다운 건
겁 없이 외치던 말 '사랑해 너를'
영원하기에
You and I

터지는 눈물이
말하잖아
난 그냥 전부 던진 거야

아무런 망설임 따위도
멋대로 끌렸던 그대로
Oh my baby 달려가 안을게

I love 너의 모든 것, 내 전부인 너
우리는 영원
We are one

전율 속에 뜨거운 그 맘을 던져
Just like a love bomb
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)

날 꼭 안아 절대 놓치지 마
가슴이 뛰잖아

다시는 아파하지 마
너의 마음을
우린 다 알아
다 알아

내 곁에 있어 줘
이 순간도 마지막처럼
You know your love is crazy 항상 그랬지
Oh my baby 사랑해 기억해

I love 너의 모든 것, 내 전부인 너
우리는 영원
We are one

전율 속에 뜨거운 그 맘을 던져
Just like a love bomb
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)

언제나 너의 곁에 있고 싶은데
널 생각하면 강해져
There’s no one like you, no one like you
우리 꼭 영원하자

우리 머문 이 세상에서
네게 말했어
다시 태어나도 널 사랑할게
Cause we are the one

I love 너의 (Ooh I Love 나의)
모든 것 내 전부인 너 (전부인 너)
우리는 영원 (Ooh)
We are one

전율 속에 (그 전율 속에)
뜨거운 그 맘을 던져
Just like a love bomb (Just like a love bomb)
We are one

Girls, We are forever
(Yeah we are, We’re still FOREVER 1)

It’s now or never
(We keep on, We’re still FOREVER 1)

Yeah we’re forever
(Yeah we are, We’re still FOREVER 1)"
FEARLESS,LE SSERAFIM (르세라핌),댄스,"Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

제일 높은 곳에 난 닿길 원해 느꼈어 내 answer
내 혈관 속에 날뛰는 new wave 내 거대한 passion
관심 없어 과거에 모두가 알고 있는 그 트러블에 huh
I'm fearless a new b**ch new crazy 올라가 next one

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam

욕심을 숨기라는 네 말들은 이상해
겸손한 연기 같은 건 더 이상 안 해
가져와 forever win 내게 ay
가슴팍에 숫자 1 내게 ay
내 밑으로 조아린 세계 ay
Take the world break it down break you down down

밟아줘 highway highway
멋진 결말에 닿게
내 흉짐도 나의 일부라면
겁이 난 없지 없지

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh

Bam ba ba ba ba bam ba ba ba ba bam
Ba ba ba ba bam
Bam ba ba ba ba bam ba ba ba ba
Mmmm I’m fearless huh

더는 없어 패배
준비된 내 payback
Bring it 당장 내게
Mmmm I’m fearless huh

What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
What you lookin’ at
What you what you lookin’ at
Mmmm I’m fearless huh

You should get away
Get a get a get away
다치지 않게 다치 다치지 않게
You should get away
Get a get a get away
Mmmm I’m fearless huh"
내가 아니라도,주호,발라드,"사랑이었다 별거 없던 내 하루에
빛이 돼준 단한 사람
나보다 나를 더 아껴 주던 너를
그땐 왜 몰랐을까
행복이었다 다시는 없을 것 같던
잠시나마 행복했었다
다른 사람 곁에 있는 널
생각해 본 적 없지만
이젠 너를 보내줘야 할 것 같아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
내 전부였다 무엇도 바꿀 수 없던
우리라서 행복했었다
다른 누구라도
나보다 더 좋은 사람 만나서
이젠 나를 잊고 행복하게 살아
내가 아니라도
눈부시게 사랑받았을 너라서
그 소중한 시간을 나와 함께해 줘서
고마웠어
예쁘고 아름다웠던 너의 그날에
함께했던 그 모든 순간이 행복했어
어두웠던 내 하루에
빛이 되어주던 그날들을
어떻게 잊고 살아
과분했던 너라는 사람을 만나
누구보다 사랑했었다
내가 아니었다면
눈부시게 사랑받았을 너란 걸
이 세상에 누구보다 더 잘 알아서
미안했어 너와 함께한 날들이
더 말할 게 있을까
행복한 기억만 가져갈게"
LOVE me,BE'O (비오),랩/힙합,"Hey girl, Where you at? (Where you at?)
대체 어디서 뭐 하는지 궁금해
기분이 너무 Bad Bad (So bad)
침대가 허전해 잠이 안 오잖아

재미도 없어 TV show
너 데리고 놀던 Pretty boy
그 고민을 내게 털어놓던
너의 표정이 아직 선명해

소파에 벤 니 향기가 비릿해
내 몸이 자꾸 빠져 깊이 Yeah
미리 알아도 난 이리
멍청하게 행동을 해버린다니까

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you

Try Try
말할까 내 불안에 불안을
끊겼다는 Wi-Fi
이젠 안 믿어 Lie Lie
매일 빠져있던 너의 반지같이
허전함 사이사이
그 자리의 기회를
아무에게나 주고 또 Bye Bye

너는 넘 빨리 들렀다 가기 땜에
나는 타이밍 안 맞아 매일 바삐
화를 내야 할지 아니면 그냥 아기처럼
울어버리고서 떼를 써야 할지

I don't know 아예 모르겠어
이러니 내가 노력해도
시간이 없으니 어쩌겠어
할 말이 하나밖에 더 있겠어

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Now I say I love you
So I love you
Now I say I love you
나 아프더라도 몰라

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you

Oh please
Love me love me love me

Oh please
Love me love me love me

Oh please
Love me love me love me
I know, I'm stupid
어쩔 수 없어 널 보고 싶은걸
Now I say I love you"
다시 만날 수 있을까,임영웅,발라드,"너를 위해 해 줄 것이 하나 없어서
보낼 수밖에 없었고
네가 없이 사는 법을 알지 못해서
순간순간을 울었다
후회로 가득한 한숨 자락이
시린 바람처럼
가슴 치는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
붙잡을 마음이야 없었겠냐마는
그때 난 부끄러웠다
떳떳하게 일어나 널 다시 찾아갈
뜨거운 꿈만 꾸었다
둘이 함께 했던 순간순간이
시린 폭포처럼
쏟아지는 날 그 언젠가
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까
그리운 마음이 서럽게 흘러넘쳐
너에게 닿을 때
우리 만날 수 있을까
다시 만날 수 있을까
그리 좋던 예전처럼 그때처럼
되돌아갈 수 있을까
다시 우리가 만나면
무엇을 해야만 할까
서로를 품에 안고서
하염없이 눈물만 흘려볼까"
봄여름가을겨울 (Still Life),BIGBANG (빅뱅),록/메탈,"이듬해 질 녘 꽃 피는 봄 한여름 밤의 꿈
가을 타 겨울 내릴 눈 1년 네 번 또다시 봄

정들었던 내 젊은 날 이제는 안녕
아름답던 우리의 봄 여름 가을 겨울

“Four seasons with no reason.”
비 갠 뒤에 비애(悲哀) 대신 a happy end
비스듬히 씩 비웃듯 칠색 무늬의 무지개
철없이 철 지나 철들지 못해(still)
철부지에 철 그른지 오래, Marchin’ 비발디
차이코프스키, 오늘의 사계를 맞이해
마침내, 마치 넷이 못내

Boy 저 하늘만 바라보고서
사계절 잘 지내고 있어 Good-bye
떠난 사람 또 나타난 사람
머리 위 저세상
난 떠나 영감의 amazon
지난 밤의 트라우마 다 묻고
목숨 바쳐 달려올 새 출발 하는 왕복선
변할래 전보다는 더욱더
좋은 사람 더욱더
더 나은 사람 더욱더
아침 이슬을 맞고 내 안에 분노 과거에 묻고
For Life

울었던 웃었던 소년과 소녀가 그리워 나
찬란했던 사랑했던 그 시절만 자꾸 기억나

계절은 날이 갈수록 속절없이 흘러
붉게 물들이고 파랗게 멍들어 가슴을 훑고

언젠가 다시 올 그날 그때를 위하여 (그대를 위하여)
아름다울 우리의 봄 여름 가을 겨울

La la la la la la la la la la la
La la la la la la la la la la la
La la la la la la la la la la la
La la la la la la la la la la la

이듬해 질 녘 꽃 피는 봄 한여름 밤의 꿈
가을 타 겨울 내린 눈 봄 여름 가을 겨울"
취중고백,김민석 (멜로망스),발라드,"뭐하고 있었니 늦었지만
잠시 나올래
너의 집 골목에 있는
놀이터에 앉아 있어
친구들 만나서 오랜만에
술을 좀 했는데
자꾸만 니 얼굴 떠올라
무작정 달려왔어
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
눈물이 날만큼 원하고 있어
정말로 몰랐니
가끔 전화해 장난치듯
주말엔 뭐할거냐며
너의 관심 끌던 나를
그리고 한번씩 누나 주려 샀는데
너 그냥 준다고
생색 낸 선물도 너 때문에 산거야
이 맘 모르겠니
요즘 난 미친 사람처럼
너만 생각해
대책없이 네가 점점 좋아져
아냐 안 취했어 진짜야
널 정말 사랑해
진심이야 믿어줘
갑자기 이런 말 놀랐다면 미안해
부담이 되는게 당연해
이해해 널
하지만 내 고백도 이해해 주겠니 oh
지금 당장 대답하진마
나와 일주일만 사귀어줄래
후회없이 잘 해주고 싶은데
그 후에도 니가 싫다면
나 그때 포기할게
귀찮게 안할게 혼자 아플게
진심이야 너를 사랑하고 있어"
ELEVEN,IVE (아이브),댄스,"따분한 나의 눈빛이
무표정했던 얼굴이
널 보며 빛나고 있어
널 담은 눈동자는 odd

내 안에 빼곡하게 피어나는 blue
내가 지금 느끼는 이 감정들은 true
내 입술을 간지럽힌 낯선 그 이름
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

투명한 너와 나의 사이
가만히 들여다보다
일렁인 물결 속으로
더 빠져드는 걸

그날 향기로운 보랏빛의 mood
셀 수 없이 반복해도 기분 좋은 꿈
감히 누가 이렇게 날 설레게 할 줄
난 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를 (그 눈에 비친 나를)
Aya, aya, aya (가만히 바라봐)
내 앞에 있는 너를
그 눈에 비친 나를
가만히 바라봐

Don't say now
서둘러 오진 마
이 순간이 좋아 난
미처 몰랐어 내 맘이 이리 다채로운지

긴 꿈을 꾸게 해 이 방은 작은 heaven
춤을 추곤 해 실컷 어지러울 만큼
Oh my, oh my god
한 칸 더 채우고 있어
잘 봐 1, 2, 3, 4, 5, 6, 7
You make me feel like eleven

내 앞에 있는 너를
그 눈에 비친 나를
Aya, aya, aya
내 앞에 있는 너를
그 눈에 비친 나를
사랑하게 됐거든"
무지개,임영웅,록/메탈,"오늘 하루 어땠었나요
많이 힘들었나요
쉬지 않고 달려왔던 길에서
나와 함께 쉬어가요
그냥 아무런 준비도 없이
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
힘껏 살다 보니 무뎌져
헝클어진 머리도
괜찮다며 그댈 안아줄 사람
바로 그대 곁에 있죠
까만 선글라스 하나 챙겨서
떠나볼까요
평범해도 좋으니까
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
행복 가득 담은 배낭 하나 메고서
답답했던 일상과 도심을 벗어나
Du Du Du Du
Du Du Du Du
떠나볼래요
우리 함께 가요
Du Du Du Du Du
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
떠나볼래요
Du Du Du Du
Du Du Du Du
지금 떠나요"
Cookie,NewJeans,댄스,"내가 만든 쿠키
너를 위해 구웠지
But you know that it ain’t for free, yeah

내가 만든 쿠키
너무 부드러우니
자꾸만 떠오르니

널 choco-chip으로
Sprinkle로
입맛 버리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어

If you want it
You can get it
If you want it
네 목소리를 또 들려줘 boy

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

내가 만든 쿠키
너에게는 독이지
네 마음속을 녹이지
So good, yeah

Looking at my cookie
역시 향기부터 다르니 (Taste it)
한입은 모자라니

널 choco-chip으로
Sprinkle로
정신 못 차리게 만들고 싶어
숨기고 있지만 널 더 보고 싶어

If you want it
You can get it
If you want it
네 목소리를 또 들려줘 boy

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

Bet you know
Bet you know
Bet you know I
레시핀 없어 딴 데서는 못 찾아

Take it
Don't break it
I wanna see you taste it
Sugar, got sugar
난 재료 안 아끼지

Bet you know
Bet you know
Bet you know I
네 다이어트를 망치고 싶어 나

Take it
Don’t break it
I wanna see you taste it
Sugar, got sugar
Bet you want some

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

식사는 없어 배고파도
음료는 없어 목말라도
달콤한 맛만 디저트만 만
원하게 될 거 알잖아

Yeah yo
Yeah yo
Mm mm
Yeah yo
Yeah yo
Mm mm

내가 만든 쿠키
Come and take a lookie
우리 집에만 있지 놀러 와

얼마든지 굽지
그런데 너 충치
생겨도 난 몰라

내가 만든 쿠키
Come and take a lookie
우리 집에만 있지 놀러 와

얼마든지 굽지
그런데 너 충치
생겨도 난 몰라"
열이올라요 (Heart Burn),선미,댄스,"그대 아무런 말도 하지 마요
이 맘은 여전히 그대로예요
따가운 햇살 그 아래 우리
이 분위기 난 좋아요
어떡해 나 숨이 가빠져요
그렇게 쳐다보면
열이 올라요 에오
뜨거워진 온도 탓일까요
약이 올라요 에오
한번쯤은 무너져줄게요
에오 에오
열이 올라요
에오 에오
여름 밤 열긴 밤새 식지 않고
나는 자꾸 위험한 춤을 춰요
따가운 햇살 적당한 바람
이 분위기 난 좋아요
어떡해 나 이제 못 참아요
그렇게 쳐다보면
열이 올라요 에오
뜨거워진 온도 탓일까요
약이 올라요 에오
한번쯤은 무너져 줄게요
올라 올라 라라라 요
올라 올라 라라 라요 라요
올라 올라 라라 라요
올라 올라 라라
잔뜩 취한 듯한 기분
좀 더 높이 날 데려다 줘
잠에 든 도시 타오른 밤이
식기전에 한번만 더
열이 올라요 에오
뜨거워진 온도 탓일까요
약이 올라요 에오
한번쯤은 무너져 줄게요
에오 에오
열이 올라요
에오 에오"
이제 나만 믿어요,임영웅,성인가요/트로트,"무얼 믿은 걸까 부족했던 내게서
나조차 못 믿던 내게 여태 머문 사람
무얼 봤던 걸까 가진 것도 없던 내게
무작정 내 손을 잡아 날 이끈 사람
최고였어
그대 눈 속에 비친 내 모습
이제는 내게서 그댈 비춰줄게
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나만 두고 가던
나만 스쳐 간 행운이 모여
그대가 되어서 내게 와준 거야
궂은 비가 오면
세상 가장 큰 그대 우산이 될게
그댄 편히 걸어가요
걷다가 지치면
내가 그대를 안고 어디든 갈게
이제 나만 믿어요
나의 마지막 주인공이 되어
다신 누구 앞에서도
그대는 고개 숙이지 마요
내가 보지 못했던 홀로 고단했던 시간
고맙고 미안해요 사랑해요
이 세상은
우리를 두고 오랜 장난을 했고
우린 속지 않은 거야
이제 울지 마요
좋을 땐 밤새도록 맘껏 웃어요
전부 그대 꺼니까
그대는 걱정 말아요
이제 나만 믿어요"
다정히 내 이름을 부르면,"경서예지, 전건호",발라드,"끝없이 별빛이 내리던 밤
기분 좋은 바람이
두 빰을 스치고
새벽 바다 한곳을 보는
아름다운 너와 나
그림을 그려갔어
모래 위 떨린 손끝으로
날 향해 웃어주는 입술
끝 모양과 저 달보다
사랑스러운 두 눈을 가진 네가
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
남은 내 모든 날을 너에게
다 줘도 안 아까워
이제서야 내가
사랑에 눈을 뜬 건 가봐
경험하지 못했고
믿기지 않는 일만
일어나고 있는 거 아니
5월에 피는 봄꽃 처럼
내 사랑도 피어나
부는 바람에 살며시 실어 보내
다정히 내 이름을
부르면 내 마음이
녹아내려 언제나
나 하날 위해 준비된
선물 같아 널 안으면
잠들지 않는 바다 위를
너와 함께 걷는 거 같아
하늘 아래 너와 나
설레는 지금이
꿈이 아닌 걸 알잖아
난 더 바랄 게 없어
먼 훗날 내 생애
아주 작은 소리로
귓가에 말할 거야
내 곁에 머물러줘서
마음 다해 고맙다고
어떤 말로도 표현 못 할
내 인생의 전부였다고
이 순간 너를 꼭 안고
고백할게 언제나
우리 모든 날들과
별빛 아래 우리 그림자
제일로 특별하다고
길고 긴 겨울 끝을 지나
너의 앞에 서있는 지금
선명한 목소리로
널 사랑한다고
말할게"
Feel My Rhythm,Red Velvet (레드벨벳),댄스,"Red Velvet

무도회를 뒤집어
작은 소란을 또 일으켜
This is gonna be a crazy night
(To-na-na-na-na-na-night)

등장부터 인사까지 파격적이게
우리 살짝 놀아볼까
솔직하게 Bae bae
지금부터 시작해 볼게
(Feel my vibe and sway)

꽃가루를 날려
폭죽을 더 크게 터트려
우릴 오만과 편견에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

차는 Old and Classic
(Just ride)
이제 조금 낯선 다른 차원까지
(Get loud)
상상할 수 없던 곳 시간 속
예고 없이 등장해
이 밤은 멋지고 우린
Fun and wild and brave

시선을 끄는 네 Motion
G-give me a new direction
끝없는 Black hole처럼
빠져드는 Sweet emotion
너를 태운 채 (Sway)
어디로든 떠날래 (Way)
온 세상 모든 경계를
다 휘저을래 (Oh yeah)

꽃가루를 날려
(흩날려)
Champagne을 더 크게 터트려
(마음껏)
더는 어제와 내일에 가두지 마
자유로워 지금

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 멈추지 말아 줘
이 순간을 놓지 마 Baby

온 세상이 멈추는 순간
What a what a feeling
어서 내 손을 잡아
(All right)
본 적 없던 Film
빠져드는 You and I
Next time 시계를 돌려
어디로 가볼까
Come on 또다시 시작해
You and I

Feel my rhythm Come with me
상상해 봐 뭐든지
노래를 따라서 저 달빛에 춤을 춰
바로 지금 (Play my rhythm)

Follow follow my heartbeat
해가 떠올 때까지
Feel my rhythm 끝나지 않는 꿈
이 순간을 놓지 마 Baby"
아버지,임영웅,발라드,"하얀 머리 뽑아 달라며
한 개 백 원이라던
그 시절 다 지나가고
이젠 흰 눈만 남았네
그렇게도 힘이 드냐며
나를 위로하시다
어느새 잠들어버린
주름만 남은 내 아버지
세상이 아무리 힘들어도
당신 있으면 견딜 것 같아
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이 어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
오래오래 날 지키며
그냥 곁에만 있어 주세요
활짝 웃는 모습이
어린애 같아 보여도
아프다 말도 못 하는 사람
이제는 내가 지켜줄게
어린아이로 돌아가 버린
사랑하는 내 아버지
사랑해요 내 아버지"
