제목,가수,장르,가사
Clink Clink (클링 클링),WSG워너비 (오아시소),댄스,"Ooh uh yeah Uhh yeah yeah

We're stopping the Clock (Aw yeah!) 음악을 틀어 (음악을 틀어!)
꽉 막혀 버린 하이 웨이로 Here we come Oh yeah

창문을 내려 (woo! Woo!) 바람을 느껴 (바람을 느껴)

이 여름 우린 so crazy
집에 안 갈 거예요 oh yeah (uh! Uh! ah yeah)

망설일 필요 없어 You know this is how we do 뛰어 들어가 (ah yeah!)

저 파란 바다로

Clink Clink (Clink!) 반짝거리는 너
Clink Clink (Clink!) 우린 Free and young

파도 위 하얀 거품이 예뻐요 (예뻐!)
온몸 부딪혀 봐요 신나죠 (aw yeah!)

Clink Clink (Clink!) 석양이 물들면
Clink Clink (Clink!) Driving into the stars

노을 진 해변가 따라 춤춰요 별이 떨어지는 소릴 들어요

Cruising, 다른 섬을 가보자 기억해, 가는 곳이 길이야

we hot, we hot, we are the hottest
No way no way 어딜 넘 봐 (woo)

잔 속 알콜은 필요 없지
널 보기만 해도 웃음이 터지지 (ah yeah)

눈이 부셔 네가 부셔 널 사랑하나 봐 yeah

너무 짧은 시간도 그림 같은 하늘도 사진에 담자

야 그래 웃어 봐

Clink Clink (Clink!) 반짝거리는 너
Clink Clink (Clink!) 우린 Free and young

파도 위 하얀 거품이 예뻐요 (예뻐!)
온몸 부딪혀 봐요 신나죠 (ah yeah!)

Clink Clink (Clink!) 석양이 물들면
Clink Clink (Clink!) Driving into the stars
노을 진 해변가 따라 춤춰요 별이 떨어지는 소릴 들어요

벼 벼 별이 지고 (별이 져~)
벼 벼 별이 피고 (별이 피고 지고~)
Fa fa fa fall in love with me (ah yeah~)

하루종일 우리 이렇게 붙어 있던 적이 언제야 (uh!) ah yeah (ah yeah!)

이젠 헤어지고 싶지 않아

저 파란 바다로

Clink Clink (Clink!) 반짝거리는 너 (반짝인 너~)
Clink Clink (Clink!) 우린 Free and young (free and young~)

파도 위 하얀 거품이 예뻐요 (예쁜 그대~)
온몸 부딪혀 봐요 신나죠

Clink Clink (Clink!) (Ooh~) 석양이 물들면
Clink Clink (Clink!) Driving into the stars (into the star yeah eh~)

노을 진 해변가 따라 춤춰요 별이 떨어지는 소릴 들어요
(yeah I’m dancing with you~)


벼 벼 별이 지고 (별이 져~)
벼 벼 별이 피고 (별이 피고 지고~)
Fa fa fa fall in love with me (fall in love with me~)

벼 벼 별이 지고 (별이 지고~)
벼 벼 별이 피고 (별이 피고~)
Fa fa fa fall in love with me (love with me~)

벼 벼 별이 지고 (hm~)
벼 벼 별이 피고 (hm~)
Fa fa fa fall in love with me"
신호등,이무진,록/메탈,"이제야 목적지를 정했지만
가려한 날 막아서네 난 갈 길이 먼데
새빨간 얼굴로 화를 냈던
친구가 생각나네
이미 난 발걸음을 떼었지만
가려한 날 재촉하네 걷기도 힘든데
새파랗게 겁에 질려 도망간
친구가 뇌에 맴도네
건반처럼 생긴 도로 위
수많은 동그라미들 모두가
멈췄다 굴렀다 말은 잘 들어
그건 나도 문제가 아냐
붉은색 푸른색 그 사이
3초 그 짧은 시간
노란색 빛을 내는
저기 저 신호등이
내 머릿속을 텅 비워버려
내가 빠른지도
느린지도 모르겠어
그저 눈앞이 샛노랄 뿐이야
솔직히 말하자면 차라리
운전대를 못 잡던 어릴 때가
더 좋았었던 것 같아
그땐 함께 온 세상을
거닐 친구가 있었으니
건반처럼 생긴 도로 위
수많은 조명들이 날 빠르게
번갈아 가며 비추고 있지만
난 아직 초짜란 말이야
붉은색 푸른색 그 사이
3초 그 짧은 시간
노란색 빛을 내는 저기 저 신호등이
내 머릿속을 텅 비워버려
내가 빠른지도
느린지도 모르겠어
그저 눈앞이 샛노랄 뿐이야
꼬질꼬질한 사람이나
부자 곁엔 아무도 없는
삼색 조명과 이색 칠 위에
서 있어 괴롭히지 마
붉은색 푸른색 그 사이
3초 그 짧은 시간
노란색 빛을 내는 저기 저 신호등이
내 머릿속을 텅 비워버려
내가 빠른지도
느린지도 모르겠어
그저 눈앞이 샛노랄 뿐이야"
해요 (2022),#안녕,"발라드, 인디음악","그녀와 나는요 그땐 참 어렸어요
많이 사랑했고 때론 많이 다퉜었죠
지금 생각하면 모두 내 잘못이죠
마지막 그날도 그녀는 울었어
나는 그녈 잡지 못했죠
지금까지도 너무 후회가 돼요
그 후로 누굴 사랑한 적 없어 아직은
그녀와 나는요
언젠가 만날 거죠
변해버린 모습 변해버린 시간 속에
하지만 괜찮아 내 눈엔 아름답던
예전 모습 그대로 일 거예요
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
언제라도
그녀도 날 못 잊을 거야 나는 믿어요
그만큼 사랑했죠
그래서 우린 한 번은 만나야만 해요
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
그녀의 친구라도 이 노랠 듣는다면
그녀에게 전해줘요
내가 아직 사랑한다고
우리가 처음 만난 그 시간 그 자리에
내가 매일 기다린다고
내가 매일 기다린다고"
That's Hilarious,Charlie Puth,POP,"Verse 1:
Look how all tables,
Look how all the tables have turned,
Guess you’re finally realizing how bad you messed it up
Girl you’re only making,
Girl you’re only making it worse,
When you call like you always do when you want someone


Pre-Chorus:
You took away a year,
of my fucking life and I can’t get it back no more
So when I see those tears,
Coming out your eyes I hope it’s me there for


Chorus:
You didn’t love when you had me
But now you need me so badly
You can’t be serious
That’s hilarious
Thinking I would still want you
After the things you put me through
Yea You’re delirious
That’s hilarious


Verse 2:
Now you put the blame in,
Now you put the blame in reverse,
Tryina make me feel guilty for everything you’ve done
You’re another lesson,
You’re just another lesson I learned
Don’t give your heart to a girl who still got a broken one


Pre-Chorus:
You took away a year,
of my fucking life & I can’t get it back no more
So when I see those tears,
Coming out your eyes I hope it’s me there for


Chorus:
You didn’t love when you had me
But now you need me so badly
You can’t be serious
That’s hilarious
Thinking I would still want you
After the things you put me through
Yea You’re delirious
That’s hilarious
You didn’t love when you had me
But now you need me so badly
You can’t be serious (you can’t be serious)
That’s hilarious (that’s hilarious)
Thinking I would still want you
After the things you put me through
Yea You’re delirious (delirious)
That’s hilarious (that’s hilarious)"
STAY,"The Kid LAROI, Justin Bieber",POP,"I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey Oh
I get drunk wake up
I'm wasted still
I realize the time
that I wasted here
I feel like you can't
feel the way I feel
Oh I'll be fucked up
if you can't be right here
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh I'll be fucked up
if you can't be right here
I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
When I'm away from you
I miss your touch Ooh
You're the reason
I believe in love Ooh
It's been difficult
for me to trust Ooh
And I'm afraid
that I'ma fuck it up Ooh
Ain't no way
that I can leave you stranded
'Cause you ain't ever left me
empty-handed
And you know that I know
that I can't live without you
So baby stay
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
Oh ooh-woah
Oh ooh-woah ooh-woah
I'll be fucked up
if you can't be right here
I do the same thing I told you
that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
I do the same thing
I told you that I never would
I told you I'd change
even when I knew I never could
I know that I can't find
nobody else
as good as you
I need you to stay
need you to stay hey
Woah-oh
I need you to stay
need you to stay hey"
A bientot,임영웅,랩/힙합,"A bientot
A bientot
이 밤이 지나면 괜찮아질 수 있을까
쓰린 내 맘이 회복될 수가 있을까
네가 떠난 빈자리가 너무 크니까
그 공허함에 깔려 겨우 살고 있잖아
기억은 잔인하고 후유증은 지독해
겨우 잠을 이뤄도 꿈자리는 뒤숭숭해
마음의 반을 도려내 버리고 난 후에
너라는 감옥에서 풀려날 수 있었네
38도 탕 안처럼 포근한
그날의 온도는 아직도 나의 가슴에
깊게 뿌리내려 뻗어 미련이란 놈은
공기처럼 내 마음을 드나드네
넌 빌런이자 하나님이야
셀 수 없는 많은 노래를
잉태하고 부숴버렸네
널 향해 나는 기도해
널 향해 나는 기도해
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
이럼 안되지만
그때 우린 뜨거운 용암처럼 사랑했네
너의 영은 열이 되어 내 몸에 있네
가열된 너의 온기가 아직도 식질 않네
늦은 새벽 눈물로 가득 찬 내 베개
사진에 찍혀 있던 우리들의 손가락
추억이 되어 흘러내리는 그 손가락
우리의 추억들이 나는 너무 좋았지
라디오에서 소개된 사연들처럼
난 요새
Young Thug Pick Up The Phone
꽂혀있어
너는 어떤 노래를 듣는지 궁금해
아직도 힙합을 듣고 있어
힙합을 듣고 있다면 언젠가
이 노래도 들을 수 있을까
넌 나에게 음악 그 이상의 존재였어
서로를 이해하는 법 몰랐었던 우리들
서툶 때문에 상처를 주고받곤 했잖아
함께 나눈 감정들 너무 달달했기에
다시 예전으로 발걸음을 돌려보려 해도
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
A bientot
A bientot
인생은 너무 외로워
너에게 전화를 거네요
이럼 안되지만
인생이 너무 외로워
허공에 말을 걸지만
그건 단조로운 리듬이 돼
그건 단조로운 리듬이 돼
마음이 너무 외로워
허공에 말을 걸지만
그건 단조로운 리듬이 돼
그건 단조로운 리듬이 돼
그건 단조로운 리듬이
그건 단조로운 리듬이 되고 있네
A bientot
A bientot
이제는 너를 잊을게 잊을게
A bientot"
손이 참 곱던 그대,임영웅,재즈,"손이 참 곱던 그대 어느새 이렇게
내 맘 깊숙이 스며들었나요
나 그대의 그 미소에
맘이 떨려 한순간
그대 때문에 음흠 그대여 음흠
날 받아 주세요
나 그대에게 안길게요
한순간에 일초만에
당장 너에게 달려갈게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠
그대여 음흠
날 받아 준다면
다 그대에게 바칠게요
내 하루의 일분일초까지
당신만 생각할게
저 붉은 태양보다 그대만
저 푸른 하늘보다 그대만
사랑해 너무 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 유후
저 지는 노을보다 그대만
저 우주 별빛보다 그대만
사랑해 너를 사랑해
세상 그 무엇보다
밝게 날 비추네 음흠 그대여 음흠
손이 참 곱던 그대
내 맘 깊숙이
나 그대의 그 미소에 음흠"
I LOVE U,WINNER,댄스,"나도 이럴 줄 몰랐어
사랑에 빠진 싸이코
갇혀 버린 걸까
생각에 하루 종일

난 궁금해 너의 매일
은밀한 그 모든 게
너와 입을 맞추고
밤새도록 흔들고 싶어

내 어깨에
편하게 기대어줄래
우린 로맨틱한 영화 속
주인공 같아

빙빙 안 돌려 난 straight
밍밍하지만 담백한
진심을 네게 전할게
윙윙 울리게

I LOVE U hoo
귀에 못 박히게 또 또 말해 줄래
I LOVE U hoo
나보다 네가 더 좋아 (좋아) 그게 다야

Umm
Clap your hands
얼굴이 부티 나 헤벌레
Umm
Day by day 마음에 불이 나
그래 이 노랜

클리셰 덩어리 토픽 LOVE love sick
어찌하냐 눈에 박힌 콩깍지
아카시아꽃이 두 뺨에 피었지
곱게 개인 설렘을 꺼내 덮지

Yeah 말풍선을 보내 버블버블
Yeah 핑크빛이 몸에 얼룩덜룩
Yeah 이리로 갔다 저리로 갔다 비벼 환상
안정감이 내 방에 더블더블

내 어깨에
편하게 기대어줄래
우린 로맨틱한 영화 속
주인공 같아

빙빙 안 돌려 난 straight
밍밍하지만 담백한
진심을 네게 전할게
윙윙 울리게

I LOVE U hoo
귀에 못 박히게 또 또 말해 줄래
I LOVE U hoo
나보다 네가 더 좋아 (좋아) 그게 다야

Every night with you
깨기 싫은 꿈
전부 너라서 난 충분해
Baby it’s okay
네 입술에
또 말해 줄게
My baby

내일 당장이라도 세상이
다 무너지면 어떡해
지금 잠깐만이라도 내 마음이
시키는 대로 살래

온 낭만들이 전부
사라져버린 딱딱한 세상에
난 당당하게 너를
사랑한다고 크게 소리칠래

I LOVE U hoo
나보다 네가 더 좋아 (좋아) 그게 다야"
Dynamite,방탄소년단,댄스,"Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shoes on get up in the morn
Cup of milk let’s rock and roll
King Kong kick the drum
rolling on like a rolling stone
Sing song when I’m walking home
Jump up to the top LeBron
Ding dong call me on my phone
Ice tea and a game of ping pong
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload I’m into
that I’m good to go
I'm diamond you know I glow up
Hey so let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Bring a friend join the crowd
Whoever wanna come along
Word up talk the talk
just move like we off the wall
Day or night the sky’s alight
So we dance to the break of dawn
Ladies and gentlemen
I got the medicine
so you should keep ya
eyes on the ball huh
This is getting heavy
Can you hear the bass boom
I’m ready
Life is sweet as honey
Yeah this beat cha ching
like money
Disco overload
I’m into that I’m good to go
I'm diamond you know I glow up
Let’s go
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Dynnnnnanana eh
Dynnnnnanana eh
Dynnnnnanana eh
Light it up like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite
Cos ah ah
I’m in the stars tonight
So watch me bring the fire
and set the night alight
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah
Dynnnnnanana life is dynamite
Dynnnnnanana life is dynamite
Shining through the city
with a little funk and soul
So I’mma light it up
like dynamite woah"
Left and Right (Feat. Jung Kook of BTS),"Charlie Puth, 정국, 방탄소년단",POP,"INTRO
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now

VERSE 1 (Charlie Puth)
ever since the da day y-you went away
no I don't know how
how to erase your body from out my brain
whatcha gon do now
maybe I should just focus on me instead
But all I think about
are the nights we were tangled up in your bed

oh no (oh no)
oh no (oh no)
you’re going round in circles got you stuck up in my head (yeah)

CHORUS
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
your love stays with me day and night
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now

VERSE 2 (Jung Kook of BTS)
ever since the da da day y-you went away
someone tell me how
how much more do I gotta drink for the pain
whatcha gon do now
you did things to me that I just can't forget
now all I think about
are the nights we were tangled up in your bed
oh no (oh no)
oh no (oh no)
you're going round in circles got ya stuck up in my head

CHORUS
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
your love stays with me day and night
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now

BRIDGE
did ya know you’re the one that got away
and even now baby i'm still not ok
did ya know that my dreams they're are the same
everytime I close my eyes

CHORUS
Memories follow me left and right
I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now
your love stays with me day and night
I can feel you over here i can feel you over here
you take up every corner of my mind
whatcha gon do now

I can feel you over here I can feel you over here
you take up every corner of my mind
whatcha gon do now"
사랑해 진짜,임영웅,포크/블루스,"숱한 날들 모두 내게 남아있는 추억들
빛바랜 기억들 사이
그대 모습만이 아련하게 빛나네
지나간 세월이 야속하진 않아
그댈 만났으므로
피어날 내일을 기대해 오
그대 내게 와줬으니
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
오색빛의 색이 물든 미완성의 그림 하나
그래 내 마음 같겠지
어느 날 그대가 내게 오기 전까지
지나간 시간이 야속하진 않아
그댈 만났으므로
피어날 내일을 기대해
그대 내게 와줬으니
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
내게 와준 그대여 고맙고 또 고마워
하늘이 무너져도 그댈 찾을 수 있어
나 진짜 진짜 당신만을 사랑하고 사랑해
내 삶의 반쪽 그대만을
아 나는 그대만 보고 있어
아 나는 그대를 사랑합니다
그대를 사랑합니다"
아무래도 난,주시크 (Joosiq),"R&B/Soul, 인디음악","아무렇지 않게 내 하루가 또
지나갈 쯤에 문득
네가 없다는 게 익숙해진 내가
낯설어지곤 해 yeah
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
듣게 됐어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
몇 곡의 노래로 너를 불렀을까
너도 들었겠지만
아직도 궁금해
내가 없이 보낸
너의 지금은 어때
이제와 너 없는 난 의미 없다고
되돌릴 수 없는 우리겠지만
네가 좋아했던 그 노랠 우연히
불러 봤어 아무래도 난
Baby I Need You
좀 늦었겠지만
다시 하고 싶어
여전히 I Need you
Need You
좀 어렵겠지만
너 없인 안돼 난
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now
그때 네가 울던 한강 공원에서
네 눈물을 보고 닦아 주질 못했어
이런 게 떠올라 후회된 장면만
웃는게 예뻤던 너를
Baby I Need You
여전히 사랑해
내가 잘못했어
돌아와 I Need you
Need You
너도 그랬다고
나없이 안돼 넌
너도 알잖아
Baby I need you now
Baby I need you now
Baby I need you now"
너의 모든 순간,성시경,"발라드, 국내드라마","이윽고 내가 한눈에
너를 알아봤을 때
모든 건 분명 달라지고 있었어
내 세상은 널 알기 전과 후로 나뉘어
니가 숨 쉬면 따스한 바람이 불어와
니가 웃으면 눈부신 햇살이 비춰
거기 있어줘서 그게 너라서
가끔 내 어깨에 가만히 기대주어서
나는 있잖아 정말 빈틈없이 행복해
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다 보곤 해
그것 말고는 아무것도 할 수 없어서
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
보고 있으면 왠지 꿈처럼 아득한 것
몇 광년 동안 날 향해 날아온 별빛
또 지금의 너
거기 있어줘서 그게 너라서
가끔 나에게 조용하게 안겨주어서
나는 있잖아 정말 남김없이 고마워
너를 따라서 시간은 흐르고 멈춰
물끄러미 너를 들여다보곤 해
너를 보는 게 나에게는 사랑이니까
너의 모든 순간 그게
나였으면 좋겠다
생각만 해도 가슴이 차올라
나는 온통 너로
니 모든 순간 나였으면"
바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,발라드,"너무 걱정하지는 마
보란 듯이 살아 볼 거야
후회는 사치일 뿐이야
다시 시작해 볼게
나 어제 또 울었어
나 어제 또 슬펐어
왜 이런 바보를 사랑한 거니
네 마음이 예뻐서
네 사랑이 고마워
이젠 네 손을 잡고
다시 태어날 거야
바보도 사랑합니다
보내주신 이 사람
이제 다시는 울지 않을 겁니다
나 이제 목숨을 걸고
세상 아픔에서 지켜낼게요
이 사람을 사랑합니다
널 위한다는 그 이유로
너를 보낼 뻔했어
나 그렇게 바보야
넌 내 사랑 바보고
서로를 많이도 울게 했었지
네 사랑이 없다면
널 만날 수 없다면
아마 나는 평생을 후회하며 살 거야
바보도 사랑합니다
보내주신 이 사람
이제 다시는 울지 않을 겁니다
나 이제 목숨을 걸고
세상 아픔에서 지켜낼게요
이 사람을
널 위해 노력해 볼게
널 위해 살아갈게
나약한 마음 따윈 모두 버릴게
우리의 사랑을 위해
너의 손을 잡고 놓지 않을게
사랑하는 내 사랑 바보야"
인생찬가,임영웅,발라드,"꿈처럼 지나간 시간
나는 무얼 찾고 싶었나
지도도 없이 걸어온 삶을
후회하진 않으리
떠난 어제는 떠날 오늘로
남겨지기도 하지
나의 친구여 나의 형제여
내 이름 불러주오
미안하다 나의 인생아
앞만 보며 살아왔구나
찬란한 순간이여 영원하라
내일은 처음 가는 길
언제나처럼 또 두려워
버들강아지 활짝 웃는 날
후회하지 않으리
비가 내리면 노래하리
눈이 내려도 좋아
나의 친구여 나의 형제여
내 이름 불러 주오
미안하다 나의 인생아
앞만 보며 살아왔구나
찬란한 순간이여 영원하라
영원한 순간이여 찬란하라"
