제목,가수,장르,가사
Yet To Come,방탄소년단,랩/힙합,"Was it honestly the best?
Cause I just wanna see the next
부지런히 지나온
어제들 속에
참 아름답게

Yeah the past was honestly the best
But my best is what comes next
I’m not playin’, nah for sure
그날을 향해
숨이 벅차게
You and I
best moment is yet to come
Moment is yet to come, yeah

다들 언제부턴가
말하네 우릴 최고라고
온통 알 수 없는 names
이젠 무겁기만 해
노래가 좋았다고
그저 달릴 뿐이라고
Promise that we’ll keep on coming back for more

너의 마음속 깊은 어딘가
여전한 소년이 있어
My moment is yet to come
Yet to come
(당신은 꿈꾸는가, 그 길의 끝은 무엇일까)
Moment is yet to come, yeah
(모두가 숨죽인 밤, 우린 발을 멈추지 않아)
Yet to come
(We gonna touch the sky, ‘fore the day we die)
Moment is yet to come, yeah
(자 이제 시작이야, the best yet to come)

언젠가부터 붙은 불편한 수식어
최고란 말은 아직까지 낯간지러워
난 난 말야 걍 음악이 좋은 걸
여전히 그때와 다른 게 별로 없는걸

아마 다른 게 별로 없다면
You’ll say it’s all a lie, yeah
난 변화는 많았지만
변함은 없었다 해
A new chapter
매 순간이 새로운 최선
지금 난 마치 열세 살
그때의 나처럼 뱉어
Huh

아직도 배울 게 많고
나의 인생 채울 게 많아
그 이유를 물어본다면
내 심장이 말하잖아
We ain’t about it 이 세상의 기대
We ain’t about it 최고란 기준의 step

(We ain’t about it)
왕관과 꽃, 수많은 트로피
(We ain’t about it)
Dream & hope & goin’ forward
(We so about it)
긴긴 원을 돌아 결국 또 제자리
Back to one

너의 마음속 깊은 어딘가
여전한 소년이 있어
My moment is yet to come
Yet to come
(당신은 꿈꾸는가, 그 길의 끝은 무엇일까)
Moment is yet to come, yeah
(모두가 숨죽인 밤, 우린 발을 멈추지 않아)
Yet to come
(We gonna touch the sky, ‘fore the day we die)
Moment is yet to come, yeah
(자 이제 시작이야, the best yet to come)

So was it honestly the best?
Cause I just wanna see the next
눈부시게 지나온
기억들 속에
참 아름답게

Yeah the past was honestly the best
But my best is what comes next
We'll be singin' till the morn
그날을 향해
더 우리답게
You and I
best moment is yet to come"
INVU,태연 (TAEYEON),댄스,"Falling in love
너에겐 난 Option
시작부터 다른 너와 나
깨지는 Heart
빗나간 네 Mention
익숙하거든

I think I lost my mind
But It’s my kind of love
아끼지 않고 다
쏟아내고는 주저앉아
문득 어느 순간
지친 내가 보여
애쓰고 있지만

So I can’t love you
Even though I do
밀어내 봐도
난 너를 못 이겨

날 버리고
날 잃을수록
넌 반짝이는 아이러니

So I N V U
I N V U
I N V U

기대지 마
기대하지도 마
몇 번을 되뇌고 되놰도
그 손길 한 번에
무너지는 날 볼 때
네 기분은 어때

I guess I lost my mind
Yeah It’s my kind of love
늘 처음인 것처럼
서툴러서 또 상처가 나
무뎌지기 전에
아물기도 전에
잔뜩 헤집어놔

So I can’t love you
Even though I do
밀어내 봐도
난 너를 못 이겨

날 버리고
날 잃을수록
넌 반짝이는 아이러니

So I N V U
I N V U
I N V U

식은 온기
부서진 맘이
자꾸 날 할퀴어
아파도 못 멈춰
So when you leave
Please make it easy
Cause I N V U

I N V U
I N V U
I N V U

I N V U"
GANADARA (Feat. 아이유),박재범,R&B/Soul,"길거리를 걷다 보면
사랑 노래만 흘러나와
나는 왜 저런 게 낯설까
난 한국말까지 서툴러
번역기도 전혀 도움 안 돼
네 맘엔 어떨까 걱정만
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
어떤 단어를 쓸지 I don’t know
어떤 말을 할지 I don’t know
나는 왜 이런지 I don’t know
You’re on my mind
Baby 정말 생각 안 나
Body language로 자신 있어
보여줄게
girl just give me some your time
너를 보면 손에 땀 나
긴장 풀게 한 번 웃어줘
Let me take u on a magic carpet ride
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
너무 완벽하지 않아도
걱정 마 네 맘을 조금 알 것 같아
네게 좀 더 다가서 볼까
고민해 매일 밤
길거리를 걷다 보면
계속 계속 네 생각이 나
이런 내 모습이 왜 낯설까
번역기 위에서
헤매는 네 손가락까지
자꾸만 생각이 나는 걸
Body language도 나는 괜찮아
But 생각 안 나면 그냥 웃어줘
모든 것을 알려줄게 오늘 밤
내가 나쁜 남자처럼 보여도
너를 볼 때면 맘이 여려져
I wouldn’t mind if I died in your arms
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사
손을 잡아 따라와
맑은 날씨 보름달
가르쳐줘 오늘 밤
가나다라마바사"
MY BAG,(여자)아이들,랩/힙합,"Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Uh oh I know you like it
My voice는 말해 뭐 해 God dang
Uh oh I just like it
태생부터 많은 Money 관심 없지

싸가지 없는 무대의 못된 범인의 눈빛
Fantasy란 말은 나를 빼고 다 금지
글러 먹은 너의 감 모두 나를 위한 밥
독한 Vibe sugar high 맛 좀 봐라 모두 Die

Rum-rum-rum Rumble 다 Crumble
이 Voice는 Drum에도 No lose
No no no lovely I’m Bumblebee
그냥 훅 들어갈 뿐 안 해 One, two

I never had 겁 a.k.a “Giant dog”
아차 하고 쓰다듬은 다쳐 이건 어쩜 범
I value my love 그만 두들겨 너
머리 빈 멍청이들과는 노는 물이 전혀 달라 Ye you know

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

가벼운 건 No no
공포에는 덤덤
나쁜 놈에겐 월월
덤벼봐라 Come come

I’m a cool lady 유일무이 캐릭
네가 벌벌 떠는 언니들 사이 Boss baby
넘치는 Jealousy
But that’s too early
내 피부부터 Young한 것은 언급하기도 귀찮네

존재가 Princess 어쩌면 범죄
넘치는 Bullet 맘을 관통해
향기는 Like rose and beautiful red
화가 난 가시의 그대 Blood ye

아직 읽지 않은 연락들은 앞으로도 읽지 않을 거니
헛된 희망들은 저기 버려두길
You know say no

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag

Red five diamonds in my bag
If you wanna see it, dance to a beat like that
My mama saw it and ‘Oh my god dang’
Ok I’ll show you what’s in my bag"
Weekend,태연 (TAEYEON),댄스,"가장 가까운 바다
혼자만의 영화관
그냥 이끌리는 대로 해도 괜찮으니까
Every morning 울린
Beep beep beep beep 소리
귀에 윙윙윙 맴도는
나를 재촉하던 모닝콜 없이 일어나
Cheese cake 한 입
유리컵 한가득
내린 커피 한 잔
아이스로 할래 아주 여유롭게
문득 시곌 보니
벌써 시간은 열두시
그래도 아주 느긋해
그리곤 하품 한 번
한껏 기지개도 켜고
생각해 오늘 뭐 할까
창문 너머 계절에 시선이 닿은 그 순간
쏟아지는 햇살 내 맘을 두드려
내게 손짓하는 싱그러운 바람 타고서
떠나볼래 When the weekend comes
I can do whatever I want
바람 따라 흩어진 cloud
더 자유롭게 we can go
가장 가까운 바다
혼자만의 영화관
그냥 이끌리는 대로 해도 괜찮으니까
훌쩍 떠나보는 drive
뚜벅 걸어도 좋아
뭐든 발길 닿는 대로 지금 떠나보려 해 oh
하루쯤 세상의 얘길 무시한 채
내가 나의 하루를 조립해 보려 해
더는 no no stress 고민 안 할래
Move it right left right 내 맘대로
가본 적도 없는 길 뭐가 있든지
I don’t need a map
when I roll the streets
이어 가보는 이윤 for a little fun
계속 up up up 좀 더 올라가
한쪽 길모퉁이 따라 맘대로 자라난
조그만 이름 모를 꽃
한참을 바라보다 뜨거운 햇살을 피해
벤치에 잠깐 앉아 봐
느려지는 걸음 그림자의 속도를 따라
함께 걷는 태양과 발을 맞추고
뒤이을 달빛을 따라 돌아오고 싶은 걸
떠나볼래 When the weekend comes
I can do whatever I want
바람 따라 흩어진 cloud
더 자유롭게 we can go
아무 계획이 없어서 완벽한 plan
우연히 찾아낸 secret place
그곳에 두고 와 나만의 작은 짐
골목길 끝을 돌아 만나게 될
기분 좋은 surprise 또 설렘
두근두근 온종일
고소한 향기의 coffee shop
눈에 들어오는 예쁜 옷
Do it for the weekend
do it for the weekend
맘에 들어오는 걸 더는 망설이긴 싫은 걸
그래도 돼 When the weekend comes
I can do whatever I want
바람 따라 흩어진 cloud
더 자유롭게 we can go
가장 가까운 바다
혼자만의 영화관
그냥 이끌리는 대로 해도 괜찮으니까
훌쩍 떠나보는 drive
뚜벅 걸어도 좋아
뭐든 발길 닿는 대로 지금 떠나보려 해 oh"
연애편지,임영웅,포크/블루스,"노을에 물든 저녁 하늘이
오랜만에 참 좋은 저녁입니다
문득 떠오른 그대 생각에
나지막이 이름을 불러봅니다
나도 몰래 꺼내 본 낡은 수첩엔
그대가 너무도 많아
차마 그립단 말 대신
꽃잎을 넣어 보내며
하얀 종이에 하지 못한 말
아직 그댄 내 고운 사랑입니다
외로이 스쳐 창을 흔드는
바람 소리 쓸쓸한 시간입니다
어둠 만들고 초를 태우며
나지막이 그대를 불러봅니다
나도 몰래 꺼내 본 낡은 사진엔
그대가 너무도 많아
차마 그립단 말 대신
바라본 밤하늘에는
아스라이 먼 작은 별 하나
외로이 홀로 남아 깜박입니다
그대를 닮은 작은 별 하나
외로이 홀로 남아 깜박입니다
그대 고운 이름은 사랑입니다"
내 기쁨은 너가 벤틀리를 끄는 거야,김승민,랩/힙합,"baby get the message
life is hard to maintain
your life is like a tape
가끔은 쉽게 발을 빼
분명 네 꿈 짓밟기 위해
신발을 사는 사람 있을 테니
취소가 불가능해 많은 사람들한테
네 말은 세상 비슷한 걸 테니까
참아야 해 아무 답이 없대
남겨지긴 싫고 떠나는 것도 두려워
사람은 잘만 왔다가 떠나는데
선택지가 있는데 안 좋은 결정했대
난 돈은 그럴 때 쓰려고 버는 건데
난 지켜야만 하는 게 너의 자존심인데
다 지키면서 살 수만은 없기에
답이 없네 아무 답이 없네
집에 오는 bus에서 아이처럼
밖을 쳐다보았겠지만
살짝 독해지는 걸 느껴 어른처럼
짐을 싸고 떠날 거야
even if I lose it all
Nike를 신고 멀어지는
거지 같은 거리에서
벌어지는 많은 일 괜찮냐 물었어
넌 oh 넌 아이처럼
maybe or not maybe or not
혼자 다 참아야만 했나 봐
멀어지는 거지 같은 거리에서
벌어지는 많은 일 괜찮냐 물었어
넌 oh 넌 아이처럼
maybe or not maybe or not
혼자 다 삼켜야만 했나 봐
넌 늘 아파하고 난 늘 도와주려고만 하지
구해달라 한적 한번 없이
혼자 붕대를 감지
난 네 등 뒤에 있어 또 등은 손 안 닿고
혼자 낑낑대는 너를 보면 장전된 총
얼굴에 대고 살아가는 것만 같아
넌 나무 위에 올라간
새끼 고양이 같은 거 아니라고
혼자 그냥 두라고 슬퍼하게 두라고
혼자 슬퍼해서 좋을 건 또 뭔데
monday to sunday one day to 평생
너가 white frappe나 마시며
수다나 떨길 바래
세월 가면 잊혀질
점수 따위에 연연하지 말고
너의 dice 낮게 나오면 나에게 말해
너의 하루가 매일 행복 일순 없겠지만
내 역할은 그 사실을 부정하는 것
널 다치게 한 하루를 용서하지도 말 것
물밀려 오듯 올 거야
위험은 pied piper
그 위험은 다 나의 것
넌 알아둬야 해 이걸
언젠간 나 역시도
무너져 버리고 말 거야
이 거지 같은 세상에서
혼자는 불가능하겠지만
그때 가선 너의 가족을 꾸리게 될 거야
너무 좋은 거래엔 항상 거짓이 섞여 있어
사람을 곁에 두되 너무 믿지 말 것
내가 너한테 그랬었던 것처럼 무조건
너의 아이들을 절대적으로 지킬 것"
듣고 싶을까,MSG워너비(M.O.M),발라드,"우리 함께 듣던 그 노랠 듣고 싶을까
듣고 나서 잠시 날 생각은 할까
아주 혹시라도 넌 내가 보고 싶을까
난 왜 니 목소리가 듣고 싶을까
뻔하디 뻔한 노랫말 여서 미안해
미안해도 부디 넌 꼭 들어줬음 해
후회도 미련도 없는 척 떠났지만
이게 내 진심인 걸 꼭 알아줬음 해
우리 함께 듣던 그 노랠 듣고 싶을까
듣고 나서 잠시 날 생각은 할까
아주 혹시라도 넌 내가 보고 싶을까
못난 내 목소리가 듣고 싶을까
말없이 다 전해지는 건 없지 난 말해 지금
몇 년째 나의 favorite one
You the only one yeah
Yes I know 무엇도 달라질 건 없지만
이게 내 진심인 걸 꼭 알아줬음 해
우리 함께 듣던 그 노랠 듣고 싶을까
듣고 나서 잠시 날 생각은 할까
아주 혹시라도 넌 내가 보고 싶을까
난 왜 니 목소리가 듣고 싶을까
Are you okay not today
천천히 대답해도 돼 i just stay
넌 내 목소리가 듣고 싶을까
누굴 만나 봐도 다시는 못할 것 같아
그립고 또 그립다 우리 그 사랑
Woo
I’m missing U
Never forget U
Never forget U
Oh no baby"
Next Level,aespa,댄스,"I’m on the Next Level Yeah
절대적 룰을 지켜
내 손을 놓지 말아
결속은 나의 무기
광야로 걸어가
알아 네 Home ground
위협에 맞서서
제껴라 제껴라 제껴라

상상도 못한 Black out
유혹은 깊고 진해
(Too hot too hot)
맞잡은 손을 놓쳐
난 절대 포기 못해

I’m on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

La la la la la la
La la la la la la
La la la la la la
La la la la la

I see the NU EVO.
적대적인 고난과 슬픔은
널 더 Popping 진화시켜
That’s my naevis It’s my naevis
You lead, we follow
감정들을 배운 다음
Watch me while I make it out

Watch me while I work it out
Watch me while I make it out
Watch me while I work it out
Work it work it work it out

감당할 수 없는 절망도
내 믿음을 깨지 못해
더 아픈 시련을 맞아도
난 잡은 손을 놓지 않을게 Oh

절대로 뒤를 돌아보지 말아
광야의 것 탐내지 말아
약속이 깨지면
모두 걷잡을 수 없게 돼
언제부턴가 불안해져 가는 신호
널 파괴하고 말 거야
(We want it)
Come on!
Show me the way to KOSMO Yeah

Black Mamba가 만들어낸 환각 퀘스트
aespa, ae를 분리시켜놓길 원해 그래
중심을 잃고 목소리도 잃고 비난받고
사람들과 멀어지는 착각 속에
naevis 우리 ae, ae들을 불러봐
aespa의 Next Level “P.O.S”를 열어봐
이건 REAL WORLD 깨어났어
We against the villain
What’s the name?
Black Mamba

결국 난 문을 열어
그 빛은 네겐 Fire
(Too hot too hot)
난 궁금해 미치겠어
이다음에 펼칠 Story
Huh!

I’m on the Next Level
저 너머의 문을 열어
Next Level
널 결국엔 내가 부셔
Next Level
KOSMO에 닿을 때까지
Next Level
제껴라 제껴라 제껴라

I’m on the Next Level
더 강해져 자유롭게
Next Level
난 광야의 내가 아냐
Next Level
야수 같은 나를 느껴
Next Level
제껴라 제껴라 제껴라
Huh!"
Butter,방탄소년단,댄스,"Smooth like butter
Like a criminal undercover
Gon’ pop like trouble
Breakin’ into your heart like that

Cool shade stunner
Yeah I owe it all to my mother
Hot like summer
Yeah I’m makin’ you sweat like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like butter
Pull you in like no other
Don’t need no Usher
To remind me you got it bad

Ain’t no other
That can sweep you up like a robber
Straight up, I got ya
Makin’ you fall like that

Break it down

Oh when I look in the mirror
I’ll melt your heart into 2
I got that superstar glow so
Do the boogie like

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Get it, let it roll
Get it, let it roll

No ice on my wrist
I'm that n-ice guy
Got that right body and that right mind
Rollin' up to party got the right vibe
Smooth like butter
Hate us love us

Fresh boy pull up and we lay low
All the playas get movin’ when the bass low
Got ARMY right behind us when we say so
Let's go

Side step right left to my beat (heartbeat)
High like the moon rock with me baby
Know that I got that heat
Let me show you ‘cause talk is cheap
Side step right left to my beat (heartbeat)
Get it, let it roll

Smooth like (butter)
Cool shade (stunner)
And you know we don't stop

Hot like (summer)
Ain’t no (bummer)
You be like oh my god

We gon’ make you rock and you say (yeah)
We gon’ make you bounce and you say (yeah)

Hotter?
Sweeter!
Cooler?
Butter!

Get it, let it roll"
늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),발라드,"어쩌면 너도 나와 같은 꿈 꿀까
매일 마주 보며 눈뜨는 하루
늦은 밤 헤어지긴 너무 아쉬워
널 많이 사랑하나 봐
유난히 날씨가 좋은 날
넌 나를 설레이게 해
영화 속에서만 보던 일들이
요즘 내 일상인 듯해
어쩌면 너도 나와 같은 꿈 꿀까
매일 마주 보며 눈뜨는 하루
늦은 밤 헤어지긴 너무 아쉬워
널 많이 사랑하나 봐
오늘 너에게 고백하겠어
취해서 하는 말이 아냐
참아온 진심인 거야
하루 종일 아무것도 안 해도
너랑 있는 게 젤 좋아
달빛도 하늘 아래 우리를 비추고
온 세상이 모두 잠든 것 같아
늦은 밤 헤어지긴 너무 아쉬워
널 많이 사랑하나 봐
네가 살아가는 순간에
그 모든 순간에 내가 있음 해
고마워 내 인생에 나타나줘서
이렇게 날 안아줘서
오늘 너에게 고백하겠어"
사랑역,임영웅,성인가요/트로트,"돌고 돌아 사랑역
다시 한번 내렸네
아픔만 두고 떠나가는
저 기차는 말이 없는데
이리 갈까 저리 갈까
몇 번을 물어보아도
돌아온 대답은 멀어지는
멀어지는 기적 소리뿐
아 아 아 사랑역 나에겐 눈물역
돌고 돌아 사랑역
다시 한번 내렸네
상처만 두고 떠나가는
저 기차는 말이 없는데
남은 짐 구겨 넣고
돌아서는 내 모습이
마주친 대합실 창 너머로
쓸쓸히 웃음 짓는다
아 아 아 사랑역 나에겐 눈물역
이리 갈까 저리 갈까
몇 번을 물어보아도
돌아온 대답은 멀어지는
멀어지는 기적 소리뿐
아 아 아 사랑역 나에겐 눈물역
나에겐 눈물역"
HOT,세븐틴,랩/힙합,"모두 우릴 쳐다봐 (봐)
태양 위를 달리는 마차 (계속 달려 Uh)
Juicy Juicy Juicy Juicy

총성이 울려 퍼진 다음 (Spicy한 Feelin’)
태양을 마음에다 쏴 (I just wanna do this)
Juicy Juicy

음악 소리 크게 Turn up
세상을 사정없이 달려
태양을 뒤에 달고 밟아 경적 울려 우리답게 Fire (우리답게)

뭘 따라가려 해 (뭘 따라가려 해)
우리 방식대로 더 더 (우리 방식대로 더 더)
Say ah 뜨거워 뜨거워 뜨거워

밤이 없는 낮 하늘은 붉은색
모든 세상에 빛은 하나인 듯해 (하나 된 듯이)
벅찬 심호흡과 리듬 과열 Vibe
운명의 태양에 내일을 걸어봐
따라오라 Go

우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
이 노래 Burnin’ like HOT HOT HOT HOT (Boom Brr Boom Boom)
우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
Yeah I’m runnin’ too HOT HOT HOT HOT (Boom Brr Boom Boom)

태양을 향해 불붙여라
아주 뜨겁게 (Boom Brr Boom Boom)
태양을 향해 불붙여라
뜨거워 이 노래 Everybody 떼창

Ay 나팔을 불어라 사막의 파도 사이로 Drive away
I don’t want uh one more chance
이 순간에 모든 걸 걸을래

태양을 향해 등지고 있던 내 그림자는 다시 빛이 돼
Yeh 가슴을 뜨겁게 거짓말 없어 우린 확실해

터질 것만 같아 I can’t breathe 뜨거운 심장이 (말을 안 들어)
벅찬 심호흡과 리듬 과열 Vibe
You know what to do, hey you know what to do

우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
이 노래 Burnin’ like HOT HOT HOT HOT (Boom Brr Boom Boom)
우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
Yeah I’m runnin’ too HOT HOT HOT HOT (Boom Brr Boom Boom)

깊은 숲을 헤치고서 달려
깊은 바다 위에 태양이여
우린 Through the fire 한계를 다시 넘어
어느새 우린 높이 올라가서 태양이 되어버릴 거야 Aw!

우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
이 노래 Burnin’ like HOT HOT HOT HOT (Boom Brr Boom Boom)
우리는 Drop it like HOT HOT HOT (Oh 지금 Feelin’ so HOT)
Yeah I’m runnin’ too HOT HOT HOT HOT (Boom Brr Boom Boom)

태양을 향해 불붙여라
아주 뜨겁게 (Boom Brr Boom Boom)
태양을 향해 불붙여라
뜨거워 이 노래 Everybody 떼창"
BEAUTIFUL MONSTER,STAYC(스테이씨),댄스,"STAYC girls it’s going down
Anyway yeah 네가 필요해 yeah
마치 퍼즐 같긴 해도 it’s ok
너를 떠올리는 향기는
so blue yeah eh
너만이 알 수 있는 뜻
Sweet 한 네 attitude
달콤한 얘기도
따사로운 햇빛도
가끔은 차가워 cause I do
널 안고 있어도
I’m so cold
사랑이라는 이름의 용기가 필요해
Yes I know yeah
넌 BEAUTIFUL MONSTER
넌 날 아프게 하고 또 치료해
Yes I know yeah
넌 BEAUTIFUL MONSTER
Love is ooh ooh love is ooh ooh
단 한 번만이라도
please be a man yeah eh
머릿속 하얘지려 해
This is not a game
This is not a show
혼자 꾸는 행복한 이 꿈
복잡해 you better ready or not
답답해 because you out of control
Sweet한 네 attitude
달콤한 얘기도
따사로운 햇빛도
가끔은 차가워 cause I do
널 안고 있어도
I’m so cold
사랑이라는 이름의 용기가 필요해
Yes I know yeah
넌 BEAUTIFUL MONSTER
넌 날 아프게 하고 또 치료해
Yes I know yeah
넌 BEAUTIFUL MONSTER
Love is ooh ooh love is ooh ooh
그래 넌 MONSTER told you I wonder
Ooh ooh ooh ooh ooh
What do you call me
What is me out there
Ooh ooh ooh ooh ooh
Yes I know yeah
넌 BEAUTIFUL MONSTER
넌 날 아프게 하고 또 치료해
Yes I know yeah
넌 BEAUTIFUL MONSTER
Love is ooh ooh love is ooh ooh"
I Ain't Worried,OneRepublic,국외영화,"I don't know what you've been told
But time is running out, no need to take it slow
I'm stepping to you toe-to-toe
I should be scared, honey, maybe so

[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Verse 2]
I don't know what you've been told
But time is running out so spend it like it's gold
I'm living like I'm nine-zeros
Got no regrets even when I am broke (Yeah)
I'm at my best when I got something I'm wanting to steal
Way too busy for them problems and problems to feel (Yeah, yeah)
No stressing, just obsessing with sealing the deal
I'll take it in and let it go

[Chorus]
But I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it
I ain't worried 'bout it (Hey)

[Bridge]
Ooh, I ain't worried
Ooh, oh, no, no

[Chorus]
I ain't worried 'bout it right now (Right now)
Keeping dreams alive, 1999, heroes
I ain't worried 'bout it right now (Right now)
Swimmin' in the floods, dancing on the clouds below

[Post-Chorus]
I ain't worried 'bout it (Ooh, hey)
I ain't worried 'bout it (Ooh, hey)

[Outro]
I ain't worried 'bout it"
보금자리,임영웅,성인가요/트로트,"그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
그대 사랑이 나였음 좋겠다
아무것도 필요 없어요
든든한 품에 안겨 잠들고 싶어라
내 사랑의 보금자리
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
아무것도 바라지 않아요
당신만 있으면 돼
한 눈 팔지 않고 사랑할래요
돈도 필요 없어 백도 필요 없어
당신만 있으면 돼
당신만 있으면 돼"
